09:43:48.516 INFO  Login from name Pjatak 
09:44:09.316 INFO  Facebook Login from id 1166456163724241 
09:50:39.045 INFO  Facebook Login from id 1166456163724241 
09:52:13.373 INFO  Facebook Login from id 1166456163724241 
10:06:44.882 INFO  Facebook Login from id 1166456163724241 
10:07:01.091 INFO  Facebook Login from id 1166456163724241 
10:13:19.112 INFO  Facebook Login from id 1166456163724241 
19:43:18.791 INFO  Facebook Login from id 1166456163724241 
20:10:28.806 INFO  Facebook Login from id 1166456163724241 
22:19:27.987 INFO  Facebook Login from id 1166456163724241 
22:21:26.658 INFO  Facebook Login from id 1166456163724241 
22:38:21.927 INFO  Facebook Login from id 1166456163724241 
22:41:12.138 INFO  Facebook Login from id 1166456163724241 
22:42:58.585 INFO  Facebook Login from id 1166456163724241 
22:49:08.876 INFO  Facebook Login from id 1166456163724241 
22:55:57.118 INFO  Facebook Login from id 1166456163724241 
22:59:33.984 INFO  Facebook Login from id 1166456163724241 
23:04:58.134 INFO  Facebook Login from id 1166456163724241 
23:08:02.853 INFO  Facebook Login from id 1166456163724241 
23:20:52.505 INFO  Facebook Login from id 1166456163724241 
23:25:17.812 INFO  Facebook Login from id 1166456163724241 
23:28:56.774 INFO  Facebook Login from id 1166456163724241 
23:29:31.085 INFO  Facebook Login from id 1166456163724241 
23:30:18.854 INFO  Facebook Login from id 1166456163724241 
23:55:39.464 INFO  Facebook Login from id 1166456163724241 
23:56:21.597 INFO  Facebook Login from id 1166456163724241 
00:02:57.989 INFO  Facebook Login from id 1166456163724241 
00:08:01.800 INFO  Facebook Login from id 1166456163724241 
00:17:11.223 INFO  Facebook Login from id 1166456163724241 
00:19:11.857 INFO  Facebook Login from id 1166456163724241 
00:47:04.107 INFO  Facebook Login from id 1166456163724241 
01:20:08.187 INFO  Facebook Login from id 1166456163724241 
